Vecka,NukleinsyrapåvisningTestade individer,NukleinsyrapåvisningGenomförda tester,AntikroppspåvisningTestade individer,AntikroppspåvisningGenomförda tester
Vecka 3,193 188,199 457,29 684,29 746
Vecka 2,200 844,206 968,33 268,33 348
Vecka 1,207 432,213 328,18 824,19 277
vecka 53,198 691,204 547,22 181,22 242
vecka 52,232 114,238 815,26 885,27 057
